标题,类型,上映时间,简介,作者,主演
['少年派的奇幻漂流 - Life of Pi'],"['剧情', '奇幻', '冒险']",['127 分钟'],《少年派的奇幻漂流》的故事开始于蒙特娄， 也结束于蒙特娄。一名在找寻灵感的作家，无意间得知了皮辛墨利多·帕帖尔的不可思议的故事。被大家称为派的男孩，成长于1970年代的印度朋迪榭里。他的父亲开了一家动物园，派整天与老虎、斑马、河马和其他异国动物为伍，对信仰、人和动物的本性自有一套看法。然而他试图与孟加拉国虎理查德·帕克交好的举动，却引来父亲勃然大怒。派的父亲当场以血淋淋的教训让他知道：动物与人的思考模式不同，一旦忘记这一点就会送命。这次的教训冲击了派对世界无止尽的好奇心，令他永远无法轻忽，最终甚至影响了他被迫经历的旅程。此时印度发生了全面性的改变，动摇了派的多采多姿的世界。在派17岁那一年，他的父母决定举家移民以追求更好的生活。移民能带来新世界的新冒险，却也代表派必须离开他的初恋情人。在选择移民加拿大之后，派的父母关闭动物园、收拾所有家当搭上一艘日籍货船。在船上，他们遇见一位残忍成性的法国厨师。当天深夜在茫茫大海中，原本令派感到刺激无比的暴风雨，才一瞬间就成了吞噬货船的大灾难。船沉了，然而派却奇迹似的活了下来。他搭着救生船在太平洋上漂流，而且有一名最令人意想不到的同伴－理查德·帕克。冒险的旅程开始了。而这头过去在派的面前展露本性的猛虎，则成了派的大敌。然而在学习共存的过程中，理查德·帕克逐渐成为派重返人世的最大希望。派与理查德·帕克面对许多无法想象的挑战， 包括大自然的壮阔以及无情袭击渺小救生船的狂暴。其中一场特别凶猛的暴风雨，为派带来精神上的体验，让他质疑神对他的安排。然而从头到尾，派都没有绝望。一本旧的求生手册、海上的生物光、壮观的飞鱼群在空中画出的虹弧、闪闪发亮的碧波、以及一头跃出海面的座头鲸，都能让派得到喜悦  。,['李安'],"['苏拉·沙玛', '伊尔凡·可汗', '塔布', '拉菲·斯波', '阿尤什·坦东', '加塔姆·贝鲁尔', '阿迪勒·侯赛因', '阿伊·可汗', '穆德·阿巴斯·卡勒里', '维比什·希瓦库玛', '热拉尔·德帕迪约', '詹姆斯·塞托', '俊·奈托', '安德里亚·迪·斯戴法诺', '沙拉万提·塞纳特', '埃利·阿鲁夫', '帕德米尼·拉姆康托', 'T·M·卡西克·司瑞尼瓦莎', '阿玛伦·瑞米南', '哈里·米那·巴拉', '王柏杰', '柯一正', '黄健玮', '拉维·纳塔森', '艾德亚特·巴拉吉', '基拉格·奥格沃', '阿罕·安德烈·卡玛斯', '欧姆·卡玛斯', '斯瑞莱克·卡塔', '沙瓦提·范·拉斯维克', 'M.吉尔萨那', '英多莫汗·普尔尼玛', '约瑟夫·尼西亚·B', '沙姆克莎·S', 'A·戴娃·桑德里', 'G·瓦萨塔库马里', 'A·韦斯亚', '马西里·普拉卡什', '拉杰·帕特尔', '哈迪西亚·哈米德', '伊斯沃尔·撒里库玛', '阿彦·汗', 'T.M. Karthik']"
['美丽心灵 - A Beautiful Mind'],"['剧情', '传记']",['135 分钟'],英俊而又十分古怪的数学家约翰·纳什 （罗素·克劳饰）念研究生时便发明了他的博弈理论，短短26页的论文在经济、军事等领域产生深远的影响，他开始享有国际声誉。但纳什出众的直觉受到了精神分裂症的困扰，使他向学术上最高层次进军的辉煌历程发生了巨大改变。面对这个曾经击毁了许多人的挑战，纳什在深爱着他的妻子艾丽西亚 （ 詹妮弗·康纳利 饰）的相助下，与被认为是只能好转、无法治愈的疾病作斗争。经过十几年的不懈努力，完全通过意志的力量，他一如既往地坚持工作，并于1994年获得诺贝尔奖，他在博弈论方面颇具前瞻性的工作也成为20世纪最具影响力的理论。而纳什也成了一个不仅拥有美好情感，并具有美丽心灵的人  。,['朗·霍华德'],"['罗素·克洛', '詹妮弗·康纳利', '艾德·哈里斯', '克里斯托弗·普卢默', '保罗·贝坦尼', '亚当·戈德堡', '乔什·卢卡斯', '朗·霍华德', '安东尼·拉普', '贾森·加里-斯坦福德', '贾德·赫希', '奥斯汀·潘德尔顿', '维克多·斯坦巴赫', 'Jesse Doran', '罗伊·辛尼斯', '谢丽尔·霍华德', '兰斯·霍华德', '简·詹金斯', '乔什·帕斯', '蒂格尔·F·伯格里', '迈克尔·埃斯佩尔', 'Eva Burkley', 'Dr. Isadore Rosenfeld', 'Tommy Allen', 'Tom McNutt', '小艾德.朱普', 'Lloyd Baskin', 'James Thomas Bligh', '丹·陈', '杰森·霍顿', '迈克尔·C·皮尔斯', '约翰托宾', 'Sean Bennett', '乔纳·福尔肯', '法布里奇奥·范特', 'Charles McClelland', '肖恩·里德', 'Jonathan Marc McDonnell', '罗伯特·迈尔斯', 'Charles Pendleton', 'Jeffrey Christopher Todd', 'Alex Tanaka', '埃文·哈特', 'Erik Van Wyck', 'Susan Quigley', '米尔斯·彼埃尔', 'Dave Sweeney', 'Ned Stuart', '斯科特·费恩斯特罗姆', 'Berly Ellis', '里德·彭尼', 'Gregory Gordon', '理查·布莱恩特', 'Sean Dillon', 'Scott Addison Clay', 'Michael Fiore', 'Douglas Taurel', 'Jennifer Weedon', 'Tracey Toomey', '艾米·瓦尔兹', 'David B. Allen', '瓦伦蒂娜·卡迪纳利', 'Alex Toma', 'Darius Stone', 'Anthony Easton', 'Patrick Blindauer', 'Kent Cassella', 'Thomas F. Walsh', '坦娅·克拉克', 'Betsy Klompus', 'Logan McCall', 'Bob Broder', '卡拉·奥奇格罗索', 'Matt Samson', 'Lyena Nomura', 'Kathleen Fellegara', 'Will Dunham', 'Glenn Roberts', 'Christopher Stockton', 'Gregory Dress', 'Yvonne Thomas', 'Holly Pitrago', 'Dave Bayer', 'Brian Keith Lewis', '凯德·比特纳', 'Jill M. Simon', '薇薇·卡登尼', '雷吉·奥斯汀', '斯特里奥·萨万特', '布莱丝·达拉斯·霍华德', '迈克尔·阿伯特', 'Vivian Kalinov', 'Phil Cirincione', '费丽娜·巴瑞丝', 'Todd Fredericks', 'Michael Arthur', 'John Blaylock', 'Mike Fitzgerald', 'Dory Manzour', 'Liche Ariza', 'Ty Copeman', 'Tiffany Marz', 'Ryan Tygh', '布瑞恩·斯米吉', 'Warner Wolf', 'Michael Tota', 'Deborah Baum', '吉莉·西蒙', '迈克尔·菲奥里', '塞斯·盖贝尔', 'Dory Manzour']"
['初恋这件小事 - สิ่งเล็กเล็กที่เรียกว่า...รัก'],"['喜剧', '爱情']",['118 分钟'],初中生小水（平采娜·乐维瑟派布恩 饰）相貌平平，家境一般，所以在学校里并不受重视。但是她心地善良，又有一群死党，日子过得倒也开心。某天，她遇见了帅气的学长阿亮（马里奥·毛瑞尔 饰），春心萌动，无 法遏制。她喜欢看他踢足球，看他拍照，如痴如狂。上英语课时，她不停地给死党传纸条 表达对阿亮的爱慕。然而，英语老师则指出她除了英语一无是处。回到家，叔叔从美国捎来了父亲的消息，说如果她能考全校第一，就可以去美国。于是，她按下决心要努力加油。某天，小水等人在买饮料时，碰到篮球队员蛮横插队。阿亮挺身而出，为她们教训了对方，并挨了校长的责骂。小水也第一次听说，阿亮的父亲因为射失点球而退役的事情，理解了他心中的隐痛。由于舞蹈队是给美女准备的，所以小水等一干姐妹准备在话剧社大展身手，没想到学长也来到这个社团。两人还扮演王子公主，他们的恋情会由此展开么？……,"['普特鹏·普罗萨卡·那·萨克那卡林', '华森·波克彭']","['马里奥·毛瑞尔', '平采娜·乐维瑟派布恩', '阿查拉那·阿瑞亚卫考', '华森·波克彭', '普特鹏·普罗萨卡·那·萨克那卡林', 'Khachamach Promsaka Na Skolnakor', '皮拉瓦特·赫拉巴特', 'Pijittra Siriwetchapan', '雅尼卡·桑普蕾舞', '诺特·阿查拉那·阿瑞亚卫考', '苏达拉·布查蓬']"
['借东西的小人阿莉埃蒂 - 借りぐらしのアリエッティ'],"['动画', '奇幻', '冒险']",['94 分钟'],虽然患有心脏方面的疾病，但是少年翔（神木隆之介 配音）的父母依然对他疏于呵护。为了准备即将到来的手术，翔来到了位于偏远乡间的姨婆（竹下景子 配音）家静养。姨婆家位于一片幽静的丛林中，这是一幢有着上百年历史的欧式别墅。这里除了生活着姨婆和女佣阿春（树木希林 配音）外，还有一个奇特的三口之家，“借东西一族”——小人阿莉埃蒂（志田未来 配音）和她的爸爸（三浦友和 配音）妈妈（大竹忍 配音），他们生活在别墅的地板下，只有几公分高，过着不为人类察觉的生活。遇到所需的日常用品时，便会在夜深人静之时偷偷潜入厨房借出来。翔无疑中瞥见阿莉埃蒂的身影，他有心接近这些传说中的小人，却不知不觉打扰了他们的生活……,['米林宏昌'],"['志田未来', '神木隆之介', '大竹忍', '三浦友和', '竹下景子', '树木希林', '藤原龙也', '威尔·阿奈特', '卡罗尔·博内特', '凯瑞·柯克帕特里克', 'Dale Sison', '奥莉薇娅·柯尔曼', 'Ray Gillon', 'Gracle Poletti', '西尔莎·罗南', '菲丽达·劳', '汤姆·赫兰德', '皮特·杰森', '莫伊塞斯·阿里亚斯', '卢克·阿伦-盖尔', '艾米·波勒', '史蒂夫·阿尔珀特', '布丽奇·门德勒', '马克·斯特朗', '弗兰克·马歇尔', '羽鸟慎一', '杰拉尔丁·麦克伊万', '大卫·亨瑞']"
['一一 - Yi yi: A One and a Two'],"['剧情', '爱情', '家庭']",['173 分钟'],NJ（吴念真 饰）是个很有原则的生意人，同妻子敏敏（金燕玲 饰）、女儿婷婷（李凯莉 饰）、儿子洋洋（张杨洋饰）以及外婆住在台北某所普通公寓里。小舅子的一场麻烦婚礼过后，因为外婆突然中风昏迷，他迎来更加混乱的日子。敏敏公司、家里两头跑，时常感觉自己要被耗空；婷婷一直为外婆的中风内疚，恋爱谈到中途发现自己不过是替代品；NJ更是麻烦重重，公司面临破产，他又不愿放下别人眼里一文不值的自尊。一家人里，似乎只有洋洋没有烦恼，他平静地用照相机拍着各种人的背面，帮他们长出另一双眼睛，然而，洋洋简简单单的一句话，道出更深的悲凉。,['杨德昌'],"['吴念真', '金燕玲', '李凯莉', '林孟瑾', '张洋洋', '陈以文', '柯宇纶', '唐如韫', '杨德昌', '萧淑慎', '尾形一成', '陈希圣', '张育邦', '徐淑媛', '曾心怡', '许安安', '柯素云', 'Kai-Li Peng', '唐从圣', '戴立忍', '陶传正', '孙法钧', '江惠惠', '李永丰', '津田健次郎', '宋少卿', '刘亮佐', '范瑞君', 'Chi-Tung Yu', '罗北安', '邓安宁', '杨淇', 'Kiyotaka Ueno', 'Christian Storms', 'Shi-hui Chin', 'Kuo-Chih Shu', 'Mei-Yun Yu', 'Antonio Lee', 'Yuen-Cheng Cheng', '苗子杰', '李键昌', '徐珪莹', 'Shih-Ping Yang', '杨谨华', 'Cheng-Wan Pieh', 'Shih-hue Tu', '毛训容']"
['美丽人生 - La vita è bella'],"['战争', '剧情', '爱情']",['116 分钟'],犹太青年圭多（罗伯托·贝尼尼 饰）邂逅美丽的女教师朵拉（尼可莱塔·布拉斯基 饰），他彬彬有礼的向多拉鞠躬：“早安！公主！”历经诸多令人啼笑皆非的周折后，天遂人愿，两人幸福美满的生活在一起。然而好景不长，法西斯政权下，圭多和儿子被强行送往犹太人集中营。多拉虽没有犹太血统，毅然同行，与丈夫儿子分开关押在一个集中营里。聪明乐天的圭多哄骗儿子这只是一场游戏，奖品就是一辆大坦克，儿子快乐、天真的生活在纳粹的阴霾之中。尽管集中营的生活艰苦寂寞，圭多仍然带给他人很多快乐，他还趁机在纳粹的广播里问候妻子：“早安！公主！”法西斯政权即将倾覆，纳粹的集中营很快就要接受最后的清理，圭多编给儿子的游戏该怎么结束？他们一家能否平安的度过这黑暗的年代呢？,['罗伯托·贝尼尼'],"['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克', '玛丽萨·帕雷德斯', '霍斯特·布赫霍尔茨', '利迪娅·阿方西', '朱利亚娜·洛约迪切', '亚美利哥·丰塔尼', '彼得·德·席尔瓦', '弗朗西斯·古佐', '拉法埃拉·莱博罗尼', '克劳迪奥·阿方西', '吉尔·巴罗尼', '马西莫·比安奇', '于尔根·博恩', '维蕾娜·布拉蒂', '罗伯特·卡梅罗', '恩尼奥·孔萨尔维', '吉安卡尔洛·科森蒂诺', '亚伦克·雷格', 'Alfiero Falomi', 'Daniela Fedtke', 'Antonio Fommei', 'Stefano Frangipani', 'Ernst Frowein Holger', 'Alessandra Grassi', 'Hannes Helmann', 'Wolfgang Hillinger', 'Margareta Lucia Krauss', 'Patrizia Lazzarini', 'Maria Letizia', 'Concetta Lombardo', 'Maria Rita Macellari', 'Carlotta Mangione', 'Francesca Messinese', '弗兰科·梅斯科利尼', 'Inger Lise Middelthon', 'Andrea Nardi', 'Günther Pfanzelter', 'Cristiana Porchiella', '安东尼奥·普雷斯特', '吉娜·诺维勒', 'Laura Rudeberg', 'Massimo Salvianti', '理查德·塞梅尔', 'James Schindler', '安德烈提多娜', '迪尔克·范登贝格', 'Giovanna Villa', ""Roberto Dell'Acqua"", 'Katia Crispino', '奥梅罗·安东努蒂', '阿伦·克雷格', '汉尼斯·赫尔曼', '李靖飞', 'Laura Susanne Ruedeberg', 'James Falzone', 'Daniela Fedke']"
"[""海上钢琴师 - La leggenda del pianista sull'oceano""]","['剧情', '爱情', '音乐']",['126 分钟'],1900年的第一天，往返于欧美两地的邮轮Virginian号上，负责邮轮上添加煤炭的工人丹尼·博德曼 （比尔·努恩饰）在头等舱上欲捡拾有钱人残留下来的事物时，却意外的在钢琴上发现一个被遗弃的新生儿，装在TD牌柠檬的空纸箱内。由于坚信“TD”正代表了Thanks Danny的缩写，于是丹尼不顾其他工人的嘲笑，独立抚育这个婴儿，并为了纪念这特别的一天，将他取名为：1900。海上出生的1900 （蒂姆·罗斯饰），在陆地上却是个从未存在的人，没有亲人、没有户籍，也没有国籍，大海便是他的摇篮，而他也随着Virginian号往返靠泊各个码头，逐渐长大。然而好景不常，一次的海上意外事件，造成抚养1900的丹尼意外丧生，幸而奇迹似的，某天深夜船上的众人被优美的琴声所惊醒，循着琴声而往，居然是无师自通的1900在钢琴前忘我的演奏着，动人的旋律打动了众人，从此，1900展开了在海上弹奏钢琴的旅程，也吸引了愈来愈多慕名而来的旅客。 　　马克斯 （ 普路特·泰勒·文斯 饰）在因缘际会下来到Virginian号加入乐队伴奏，也因此见识到这位传说中的海上钢琴师1900，两人因此结为好友。而1900在与发明爵士乐的传奇钢琴手杰利同船竞技钢琴琴艺之后，声势更是如日中天。但尽管马克斯再三鼓励1900下船去向全世界展露他的天赋，1900却始终未曾踏足陆地一步。直到他在为唱片公司录制个人专辑时，意外见到船舱之外清秀动人的女孩，并在感动之余创作了《1900's Theme》。随着女孩的下船离去，1900的心开始波动  。,['朱塞佩·托纳多雷'],"['蒂姆·罗斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '普路特·泰勒·文斯', '梅兰尼·蒂埃里', '加布里埃莱·拉维亚', '皮特·沃恩', '尼尔·奥布赖恩', '阿尔贝托·巴斯克斯', 'Julien Lovett', '希思科特·威廉姆斯', 'Adriano Wajskol', '布莱恩·普林格', '安吉洛·迪洛雷塔', 'Pierluigi Coppola', 'Stefano Pagin', 'Bernard Padden', 'Noriko Aida', 'Andrew Dunford', 'Eamon Geoghegan', '伊斯顿·盖奇', 'Harry Ditson', 'Katy Monique Cuom', '科里·巴克', 'Vernon Nurse', 'Norman Chancer', '西德尼·科尔', '费米·依鲁福祖', 'Leonid Zaslavski', 'Luigi De Luca', 'Femi Elufowojo', 'Nigel Fan', 'Roger Monk', '吉达·布塔', 'Gianluigi Molteni']"
['千与千寻 - 千と千尋の神隠し'],"['动画', '冒险', '奇幻', '家庭']",['125 分钟'],千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。千寻仓皇逃出，一个叫小白的人救了他，喂了她阻止身体消失的药，并且告诉她怎样去找锅炉爷爷以及汤婆婆，而且必须获得一份工作才能不被魔法变成别的东西。千寻在小白的帮助下幸运地获得了一份在浴池打杂的工作。渐渐她不再被那些怪模怪样的人吓倒，并从小玲那儿知道了小白是凶恶的汤婆婆的弟子。一次，千寻发现小白被一群白色飞舞的纸人打伤，为了救受伤的小白，她用河神送给她的药丸驱出了小白身体内的封印以及守封印的小妖精，但小白还是没有醒过来。为了救小白，千寻又踏上了她的冒险之旅。,['宫崎骏'],"['柊瑠美', '周冬雨', '入野自由', '井柏然', '夏木真理', '王琳', '中村彰男', '彭昱畅', '菅原文太', '田壮壮', '内藤刚志', '泽口靖子', '我修院达也', '神木隆之介', '玉井夕海', '大泉洋', '小林郁夫', '上条恒彦', '小野武彦', '安田显', '斋藤志郎', '黛维·切斯', '杰森·马斯登', '苏珊娜·普莱舍特', '鲍伯·伯根', '迈克·奇科利斯', '罗伦·荷莉', '塔拉·斯特朗', '苏珊·伊甘', '保罗·伊丁', '约翰·拉岑贝格', '戴维·奥格登·施蒂尔斯', '杰克·安杰尔', '雪莉·琳恩', '莫娜·马歇尔', '詹妮弗·达林', '米凯·麦高万', '科琳·欧肖内希', '菲尔·普洛克特', '吉姆·瓦德', 'Candi Milo', '罗杰·布帕斯', '户次重幸', '山像香', '脇田茂', '都筑香弥子', 'Noriko Kitou', 'Masayuki Kizu', 'Rina Yamada', 'Madalena Bobone', 'Rui Mendes', '山本道子', 'Akio Nakamura', '山本郁子', 'Filipa Maló Franco', 'João Melo', 'Fernanda Montemor']"
['迁徙的鸟 - The Travelling Birds'],['纪录片'],['98 分钟'],当鸟儿用羽翼去实现梦想，翱翔在我们永远无法凭借自身企及的天空，人类又该赋予他们怎样的赞叹呢？“鸟的迁徙是一个关于承诺的故事，一种对于回归的承诺。”雅克·贝汉以这样一句话带我们踏上了鸟与梦飞行之旅。,"['雅克·贝汉', '雅克·克鲁奥德']","['雅克·贝汉', 'Philippe Labro']"
"['黄金三镖客 - Il buono, il brutto, il cattivo.']","['西部', '冒险']",['161 分钟'],故事发生在美国南北战争时期。图科（埃里·瓦拉赫 饰）是一个图财害命的江洋大盗，因此他被镇上悬赏通缉。布兰迪（克林特·伊斯特伍德  饰）是一个除暴安良的牛仔，他无意中抓住了图科，但嫌赏金不够又掳走了他。在荒漠中，布兰迪惩罚图科让其自生自灭。但是诡诈的图科居然逃过了一劫，并纠集一些帮凶在客栈捉住了布兰迪。正当图科以牙还牙折磨布兰迪的时候，他劫持了一个名叫卡森的士兵。后者临死前留下了宝藏的秘密，图科和布兰迪分别获得了一半信息。与此同时，一个狡猾的杀手桑坦萨（李·范·克里夫 饰）也通过其他渠道发现了宝藏的秘密。于是，在寻宝的道路上，三个人使出浑身解数，上演了一场场对决的好戏……,['赛尔乔·莱翁内'],"['克林特·伊斯特伍德', '李·范·克里夫', '埃里·瓦拉赫', '路易吉·皮斯蒂利', 'Claudio Scarchilli', 'John Bartha', 'Livio Lorenzon', '贝尼托·斯特凡内利', 'Angelo Novi', '安东尼奥·卡萨斯', '阿尔多·桑布雷利', 'Al Mulock', 'Sergio Mendizábal', 'Antonio Molino Rojo', 'Lorenzo Robledo', '马里奥·布雷加', '弗兰克·布拉尼亚', 'Luigi Ciavarro', 'Jesús Guzmán', 'Víctor Israel', '纳扎雷诺·纳塔莱', 'Ricardo Palacios', 'Romano Puppo', 'Antonio Ruiz', 'Román Ariznavarreta', 'José Terrón', 'Saturno Cerra', 'Enrique Santiago', 'Fortunato Arena', '阿蒂利奥·罗戴德约', 'Veriano Genesi', '阿尔多·久弗瑞', 'Rada Rassimov', 'Enzo Petito', 'Antonio Casale', 'Sandro Scarchilli', '切诺·阿隆索', 'William Conroy', 'Aysanoa Runachagua', 'Franco Doria', 'Amerigo Castrighella', 'Tony Di Mitri']"
['海洋 - Océans'],['纪录片'],['104 分钟'],"影片讲述了热爱动物又充满幻想的十岁男孩方小奇，由于父母常年在外工作，所以只能在爷爷工作的“极地海洋世界”里度过自己的童年。值得庆幸的是，“海洋世界”里千姿百态的各种海洋动物，让小奇的生活充满了欢乐和幸福。    一天晚上，远在北极的爸爸给小奇来的一封信又使他失望了,信中说我们的科考工作还没完成，因此不能回来给你过生日了。小奇非常难过，便拿着爸爸的信独自来到海豚池边偷偷哭泣。就在这个时候，奇迹发生了！那只平时就跟小奇很要好的小海豚琪琪，突然开口和他‘说话’了！它告诉小奇，它也很难过，天天思念自己的爸爸。两颗心，因为同一种情感被紧紧地联系在一起。    小奇从饲养员那里得知，琪琪是被人类从大海里救回来的。当年它爸爸为了保护它，在和鲨鱼拼搏中受了重伤，现在还不知是生还是死。琪琪的悲惨经历，让小奇决心帮助琪琪找到它的爸爸。    就在小奇和同学们努力准备的时候，琪琪却突然病了。望着不吃不喝的“好朋友”，小奇流下了眼泪。他知道，琪琪的病是因为它见不到爸爸而造成的！情急之下，小奇和维维、洋洋等好朋友把琪琪从“海洋世界”偷运出去，可就在他们的行动将要成功的时候，却被饲养员发现了。小奇不仅被平日里非常疼爱他的爷爷怒斥，还被禁止再来海豚池看琪琪！小奇又气又急，终于也发起了高烧。    小奇怎么也不知道，他和琪琪之间的友谊，他为“海洋朋友”所做的一切努力，同样也打动了一些人的心，他们正在为琪琪重归大海，重见爸爸而暗暗努力着。一段关于人与动物、亲情与友谊、爱与理解的美丽故事，正在那个如梦如幻的海洋世界里上演着……","['雅克·贝汉', '雅克·克鲁奥德']","['雅克·贝汉', '姜文', '兰斯洛特·佩林', '宫泽理惠', '皮尔斯·布鲁斯南', '阿尔多', '小佩德罗·阿门达里斯', '马蒂亚斯·勃兰特', 'Manolo Garcia']"
['我爱你 - 그대를 사랑합니다'],"['剧情', '爱情']",['118 分钟'],每天清晨骑着摩托车送牛奶的金万石嘴边总是挂着脏话，但其实是个热心肠的人。有一天，万石在上坡的时候偶遇了靠收废纸为生，孤独且艰辛的宋怡芬，并在孙女金妍儿的穿针引线下，对她产生了特殊的感情。在停车场工作的张君峰的妻子患有老年痴呆症。他每天早出晚归工作，回到家后就尽心照顾妻子。然而妻子却将不久于人世。君峰深爱着自己的妻子，因此悲痛无比。他想帮妻子减轻痛苦，同时他也无法接受没有妻子陪伴的日子，最后决定同妻子一起离开这个世界。他将门窗仔细封好，坐在妻子身边，笑着对她说一起走过了这么长的一辈子，下辈子还要娶她，妻子摇摇头说你永远都在为我付出而我却不能为你做什么，我不能再拖累你了。躺在妻子身边，握着她的手，平静地等待最后时刻的到来。老友夫妇的死对怡芬触动很大，她深爱着万石，不想失去他，但他已临近生命的终点，她不能承受死亡将他们分开，思虑再三，决定自己独自带着最美好的回忆回到老家，慢慢老去。万石起先无法接受，后来还是理解了她的选择，并决定送她回家。在她的老宅前，两人互相望着对方，千言万语都包含在着最后的凝望中。两人唯一的一次拥抱，深深的一抱，不禁都老泪纵横。随着握着的双手渐渐地分开，一段恋情就此慢慢地飘散开来，又在两人的心中汇聚，尘封在记忆之中。弥留之际，万石仿佛看到自己骑着摩托，来到怡芬的老宅前，载着她越过田野，越过山谷，越过天空，去往他们的天堂。老人带着一脸的满足，微笑着离去。,"['秋昌旼', '孙昌敏']","['李彩恩', '吉海妍', '金秀美', '李文植', '李顺才', '吴达洙', '尹秀晶', '宋智孝', '宋在浩', 'Hae-yeon Kim', 'Jae-Yoon Jo', 'Bi-bi Kim', 'Soo-yeong Kang', 'Hyun Joong Kang', '李俊赫', 'Sang-hoon Lee', 'Nam-Hee Park', '李顺载', '赵在允', 'Jeong', '罗美兰', '金香奇', '李相勋', '李俊赫']"
['阿飞正传 - Days of Being Wild'],"['剧情', '爱情', '犯罪']",['94 分钟'],英俊不凡的旭仔阿飞 （张国荣饰）是上海移民，他从未见过生母，自小由养母 （潘迪华饰）养大，因此长大后他对生命中遇到的每一个女人都冷酷无情。放荡不羁的他先后与南华体育会售票员苏丽珍 （张曼玉饰）和舞女咪咪 （刘嘉玲饰）同居，但后来又相继抛弃了她们。旭仔从养母处得知，自己原是混着西班牙和菲律宾贵族血统的私生子旭仔决要找到生母，为此他只身前往菲律宾，可是生母拒见，带着怨恨离开。旭仔在离开香港前，将车子给予歪仔 （张学友饰）。咪咪发现旭仔走了，问歪仔知不知道他在那里，歪仔告诉她旭仔去了菲律宾，并将旭仔的车子卖掉，将钱给她去菲律宾找旭仔。一直暗恋苏丽珍的警察超仔 （刘德华饰）目睹了苏丽珍与旭仔的决裂，并在母亲死后，决定改行去跑船。超仔在菲律宾唐人街又遇上了旭仔，不过他假装自己不认识他。不久，旭仔因为买卖假护照而在一场殴斗中身负重伤，超仔问他记不记得某年4月16日下午3时他在做什么，旭仔说要记得的他永远记得，但是他叫超仔告诉苏丽珍他已经不记得了。最后他守着死在一列异国火车上的旭仔。在这同时，另一个阿飞 （梁朝伟饰）精心打理自己准备出门，继续上演着无脚鸟的故事  。,['王家卫'],"['张国荣', '张曼玉', '刘德华', '刘嘉玲', '张学友', '潘迪华', '梁朝伟', 'Danilo Antunes', 'Hung Mei-Mei', 'Ling-Hung Ling', 'Tita Muñoz', '阿莉西亚·阿隆索', 'Elena Lim So', 'Maritoni Fernandez', 'Angela Ponos', 'Nonong Talbo', 'Mei-Mei Hung']"
['爱·回家 - 집으로...'],"['剧情', '家庭']",['80 分钟'],坐完火车，又坐汽车，再走弯弯的山路，妈妈领着7岁的相宇去外婆家。作为单身母亲的她为了方便找工作暂时把相宇留在那里。相宇的外婆不能说话，也不识字，而一直生活在可乐、电子游戏和溜冰鞋世界里的相宇，刚开始无法适应连游戏机、电池都没有得卖的农村生活，他开始表现自己的不满，为了买电池，相宇偷走外婆的银头簪拿去卖；相宇还不顾在一旁缝袜子的外婆，在地板上玩起了溜冰。有一天，想吃炸鸡的相宇通过各种手势，终于成功向外婆表达了自己的意愿，而外婆只理解到鸡肉，做出来的是“泡在水里的鸡”———炖鸡，相宇很生气，推翻了饭碗。面对这一切外婆唯一的表示就是不停用手势表示对不起，因为连买电子游戏机电池的钱都给不起，因为不能满足相宇想吃炸鸡的要求而对不起。,['李廷香'],"['俞承豪', '金艺芬', '童孝熙', '闵京勋', '任恩敬']"
